On Losses,-50,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0
20.0,4.249703071600511e-06,2.8178230839000923e-06,3.2833780193000824e-06,1.278369204000011e-06,6.592220799000103e-07,0.0,3.7080308658968715e-06,8.237503061909606e-06,1.349354884994211e-05,1.950118067237412e-05,2.640628622483829e-05
30.0,7.854057777099792e-06,3.742904451900248e-06,3.2077646212997322e-06,1.0761168786998891e-06,2.463740352999901e-07,0.0,5.740165723048289e-06,1.238525514295256e-05,2.0128775095162845e-05,2.895905843799757e-05,3.909809815944532e-05
35.0,4.2358285511998744e-06,4.5235673380001305e-06,1.7239818630001083e-06,5.981739364000968e-07,-2.8627196500038282e-08,0.0,6.807868335154526e-06,1.4316301664853502e-05,2.3251603615094832e-05,3.3879971558578386e-05,4.533721036723282e-05
Off Losses,-50,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0
20.0,2.14203584660011e-06,2.1299196961001125e-06,1.6026235606998902e-06,1.1926089391999656e-06,7.932848114999228e-07,0.0,3.897039880500019e-06,9.683217715299912e-06,1.6710862713700033e-05,2.4839160268199777e-05,3.386601042630003e-05
30.0,2.0876188487999048e-06,1.9280366013998615e-06,1.667987891299915e-06,1.3068737993999872e-06,8.080133209999391e-07,0.0,5.257646925e-06,1.3062922467799946e-05,2.2426723683399968e-05,3.332218273050013e-05,4.531657018480052e-05
35.0,2.4033387863997557e-06,1.9510136948001043e-06,1.6946923732997533e-06,1.4840855801999918e-06,8.520237192999325e-07,0.0,5.886275683500013e-06,1.471575066940001e-05,2.5254432486999934e-05,3.754019095469994e-05,5.08936960121999e-05
