Time                    	VDS1                    	VGS1                    	ID1                     	P1                      	E1                      	VDS2                    	VGS2                    	ID2                     	P2                      	E2                      
0                        	20.725284908452252352618 	4.099392147294267374e-06 	1.172884367406368256e-07 	2.430836267916676882e-06 	0                        	-0.725284908452253684885 	0                        	-19.9999998826722240608  	14.505698083949008392324 	0                        
1.000000000000000219e-07 	20.725284908452241694476 	4.099391983980460452e-06 	1.17332632498801117e-07  	2.431752237596376008e-06 	2.431294252756527049e-13 	-0.725284908452242804699 	0                        	-19.99999988267127548625 	14.505698083948102450336 	1.450569808394855939e-06 
2.000000000000000439e-07 	20.725284908452238141763 	4.099391984535571964e-06 	1.173834363044079642e-07 	2.432805160942011073e-06 	4.863572952025720822e-13 	-0.725284908452239140964 	0                        	-19.99999988267167339018 	14.505698083948317389513 	2.901139616789677574e-06 
4.000000000000000878e-07 	20.725284908452216825481 	4.099392010958879951e-06 	1.173837915757758442e-07 	2.432812524042327436e-06 	9.729190637010059904e-13 	-0.725284908452217491615 	0                        	-19.99999988267166273204 	14.505698083947876853017 	5.802279233579297549e-06 
8.000000000000001756e-07 	20.725284908452263010759 	4.099392439504967456e-06 	1.173297903278580766e-07 	2.431693332793825198e-06 	1.945820235068236844e-12 	-0.72528490845226212258  	0                        	-19.99999988267185102586 	14.505698083948907139984 	1.160455846715865609e-05 
1.600000000000000351e-06 	20.725284908452252352618 	4.099392611145447063e-06 	1.173376062979514377e-07 	2.431855321000844902e-06 	3.891239696586104964e-12 	-0.725284908452250909328 	0                        	-19.99999988267191852742 	14.505698083948731280657 	2.320911693431771197e-05 
3.200000000000000702e-06 	20.72528490845224524719  	4.099393896006553462e-06 	1.173503960671951195e-07 	2.432120392612332653e-06 	7.782420267476646956e-12 	-0.725284908452246579458 	0                        	-19.9999998826716520739  	14.505698083948452392633 	4.64182338686354646e-05  
6.400000000000001404e-06 	20.725284908452234589049 	4.099389738998482358e-06 	1.173418695543659983e-07 	2.431943678204672176e-06 	1.556492278078385835e-11 	-0.725284908452235033138 	0                        	-19.99999988267191852742 	14.505698083948413312783 	9.283646773727046841e-05 
1.280000000000000281e-05 	20.725284908452255905331 	4.099408831059747627e-06 	1.173702912637964023e-07 	2.432532726230205265e-06 	3.113124727497547245e-11 	-0.725284908452257237599 	0                        	-19.99999988267156325605 	14.505698083948599830251 	0.0001856729354745409368 
2.280000000000000532e-05 	20.725284908452234589049 	4.099387885814209653e-06 	1.172928421055985647e-07 	2.430927570360632903e-06 	5.544854875792967378e-11 	-0.725284908452235366205 	0                        	-19.99999988267109785056 	14.505698083947825338669 	0.0003307299163140231231 
