Time                    	VDS1                    	ID1                     	P1                      	E1                      	VDS2                    	ID2                     	P2                      	E2                      
0                        	20.72528490845224524719  	1.173329167158954078e-07 	2.431758128076631386e-06 	0                        	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	0                        
1.000000000000000219e-07 	20.72528490845224524719  	1.173329169934511772e-07 	2.43175813382905363e-06  	2.431758130952842697e-13 	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	1.450569808394816341e-06 
2.000000000000000439e-07 	20.72528490845224524719  	1.173329381570775841e-07 	2.431758572451240517e-06 	4.863516484092989522e-13 	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	2.901139616789632681e-06 
4.000000000000000878e-07 	20.72528490845224524719  	1.173329381570775841e-07 	2.431758572451240517e-06 	9.727033628995472267e-13 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	5.802279233579265362e-06 
8.000000000000001756e-07 	20.72528490845224524719  	1.173329003401058078e-07 	2.431757788683726194e-06 	1.945406635126540503e-12 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	1.160455846715853072e-05 
1.600000000000000351e-06 	20.72528490845224524719  	1.173328836867604385e-07 	2.431757443538398759e-06 	3.890812728015391216e-12 	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	2.320911693431706145e-05 
3.200000000000000702e-06 	20.72528490845224524719  	1.173328975645482463e-07 	2.431757731159505026e-06 	7.781624867773714326e-12 	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	4.64182338686341229e-05  
6.400000000000001404e-06 	20.72528490845224524719  	1.173329461368055736e-07 	2.431758737833376536e-06 	1.556325121816232578e-11 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	9.283646773726824579e-05 
1.280000000000000281e-05 	20.72528490845224524719  	1.173329211567875196e-07 	2.431758220115385594e-06 	3.112650548359836781e-11 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0001856729354745364916 
2.280000000000000532e-05 	20.72528490845224524719  	1.173328968706588691e-07 	2.431757716778450051e-06 	5.544408516806754946e-11 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0003307299163140181358 
3.280000000000001122e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	7.976166143703610764e-11 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.00047578689715349978   
4.280000000000001035e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	1.040792368071886936e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0006208438779929813158 
5.280000000000000947e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	1.283968121773412795e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0007659008588324628516 
6.280000000000000859e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	1.527143875474938525e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0009109578396719443874 
7.280000000000002127e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	1.770319629176464772e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0010560148205114262485 
8.280000000000002039e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	2.013495382877990502e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0012010718013509078927 
9.280000000000001952e-05 	20.72528490845224524719  	1.173328881970414892e-07 	2.431757537015258634e-06 	2.256671136579516232e-10 	-0.725284908452245580257 	-19.99999988267127548625 	14.505698083948157517398 	0.0013461287821903895369 
0.0001000000000000000183 	20.72528490845224524719  	1.173328809112028372e-07 	2.431757386014176743e-06 	2.43175767380857606e-10  	-0.725284908452245691279 	-19.99999988267127548625 	14.505698083948161070111 	0.0014505698083948162253 
0.0001000060000000000179 	20.725408690277340895136 	-0.000374919883065826117 	-0.00777036780265023732  	2.198719592450664857e-10 	-0.725408690277339229802 	-20.0003749198872640136  	14.508445775691162893395 	0.0014506568508263950525 
0.0001000180000000000172 	20.725123411587130561884 	-0.000234500595289200293 	-0.004860053777459323945 	1.440894297644141122e-10 	-0.725123411587132116196 	-20.00023450059944707391 	14.50263827361733248722  	0.0014508309173306909671 
0.0001000420000000000156 	20.725597579447601503944 	-0.001149250306819449502 	-0.023818899377196594419 	-2.00058008091434185e-10 	-0.725597579447600282698 	-20.00114925031101975605 	14.51278548219586106427  	0.0014511791024157606918 
0.0001000600000000000144 	20.725040258517868352328 	-0.001377147224959526274 	-0.028541431679192343779 	-6.71300987598903559e-10 	-0.725040258517867686194 	-20.0013771472291601583  	14.501803657540401459869 	0.0014514402337180182679 
0.000100061857316507258  	20.724761255263338455279 	-0.000864534271260446858 	-0.017917266368865834847 	-7.14445240993757253e-10 	-0.724761255263340009591 	-20.00086453427545052364 	14.495851686213493181299 	0.0014514671626299890245 
0.0001000649606816608322 	20.725979887897974407451 	-0.001054631018786936734 	-0.021858261284531402269 	-7.76164234236045539e-10 	-0.725979887897972742117 	-20.00105463102298131162 	14.520363398871293014736 	0.0014515121865853808977 
0.0001000711204677731111 	20.724994934023715842386 	-0.001685051778023539167 	-0.034922689563105506483 	-9.51043490472679221e-10 	-0.724994934023714621141 	-20.00168505178216804552 	14.501120334479931983651 	0.0014516015696516100172 
