Time                    	VDS1                    	VGS1                    	ID1                     	P1                      	E1                      	VDS2                    	VGS2                    	ID2                     	P2                      	E2                      
0                        	30.845259838765020532492 	6.107944153566080558e-06 	1.234002411365509033e-07 	3.806312502023172828e-06 	0                        	-0.845259838765021087603 	0                        	-19.99999987658839017968 	16.905196670985542795052 	0                        
1.000000000000000219e-07 	30.845259838765041848774 	6.107943968935991563e-06 	1.233679824963474212e-07 	3.805317475884053564e-06 	3.805814988953614192e-13 	-0.845259838765042736952 	0                        	-19.9999998765879283269  	16.905196670985585427616 	1.690519667098556766e-06 
2.000000000000000439e-07 	30.845259838764988558069 	6.107943982813779371e-06 	1.234706559216647557e-07 	3.808484464366496347e-06 	7.612715959078890029e-13 	-0.845259838764987447846 	0                        	-19.9999998765882409657  	16.905196670984746987187 	3.381039334197073722e-06 
4.000000000000000878e-07 	30.845259838765034743346 	6.107944028443945683e-06 	1.234706559216647557e-07 	3.808484464366502277e-06 	1.52296848878118913e-12  	-0.845259838765033078012 	0                        	-19.99999987658825162384 	16.90519667098566714003  	6.762078668394116103e-06 
8.000000000000001756e-07 	30.845259838765002768923 	6.107944735767034672e-06 	1.234418789408664717e-07 	3.807596830916399775e-06 	3.046184747837769838e-12 	-0.845259838765002768923 	0                        	-19.99999987658867439677 	16.905196670985418450073 	1.352415733678833385e-05 
1.600000000000000351e-06 	30.84525983876503829606  	6.107945284217208837e-06 	1.23422694287000949e-07  	3.807005075283005589e-06 	6.092025510317533308e-12 	-0.845259838765039295261 	0                        	-19.99999987658793898504 	16.905196670985528584197 	2.704831467357671513e-05 
3.200000000000000702e-06 	30.845259838765006321637 	6.107945850208906791e-06 	1.234639057656750348e-07 	3.808276254051043551e-06 	1.218425057378477377e-11 	-0.845259838765007764927 	0                        	-19.99999987658825162384 	16.905196670985159101974 	5.409662934715326764e-05 
6.400000000000001404e-06 	30.845259838765034743346 	6.107938039456861645e-06 	1.233843249792699035e-07 	3.805821564016207477e-06 	2.436680708269237739e-11 	-0.845259838765034077213 	0                        	-19.99999987658825162384 	16.905196670985688456312 	0.0001081932586943066437 
1.280000000000000281e-05 	30.845259838765009874351 	6.107954066747467436e-06 	1.2342979971435855e-07   	3.807224244036112837e-06 	4.872855366845980814e-11 	-0.845259838765009097195 	0                        	-19.99999987658718580974 	16.905196670984285134409 	0.0002163865173886105769 
2.280000000000000532e-05 	30.845259838765027637919 	6.107953816392175383e-06 	1.233502189279534187e-07 	3.804769554001275492e-06 	8.678852265864675498e-11 	-0.845259838765026749741 	0                        	-19.99999987658652145228 	16.905196670984079077016 	0.0003854384840984524511 
3.280000000000001122e-05 	30.84525983876499921621  	6.107948725908585175e-06 	1.233502189279534187e-07 	3.80476955400127168e-06  	1.248362181986595021e-10 	-0.845259838765000437455 	0                        	-19.99999987658707567562 	16.905196670984018680883 	0.0005544904508082929701 
4.280000000000001035e-05 	30.845259838765034743346 	6.107953409495436858e-06 	1.233502189279534187e-07 	3.804769554001276339e-06 	1.628839137386722233e-10 	-0.845259838765034632324 	0                        	-19.99999987658652145228 	16.905196670984235396418 	0.0007235424175181341937 
5.280000000000000947e-05 	30.84525983876499921621  	6.107949100275789078e-06 	1.233502189279534187e-07 	3.80476955400127168e-06  	2.009316092786849445e-10 	-0.84525983876500021541  	0                        	-19.99999987658596722895 	16.905196670983077211758 	0.0008925943842279707554 
6.280000000000000859e-05 	30.845259838765034743346 	6.107953064771187712e-06 	1.233502189279534187e-07 	3.804769554001276339e-06 	2.389793048186976658e-10 	-0.845259838765033522101 	0                        	-19.99999987658707567562 	16.905196670984683038341 	0.0010616463509378094854 
7.280000000000002127e-05 	30.845259838765013427064 	6.107949417244462609e-06 	1.233502189279534187e-07 	3.804769554001273374e-06 	2.770270003587104387e-10 	-0.84525983876501176173  	0                        	-19.99999987658652145228 	16.905196670983777096353 	0.0012306983176476520101 
8.280000000000002039e-05 	30.845259838765034743346 	6.107952773781732958e-06 	1.233502189279534187e-07 	3.804769554001276339e-06 	3.150746958987231599e-10 	-0.845259838765033633123 	0                        	-19.99999987658652145228 	16.905196670984214080136 	0.0013997502843574919328 
9.280000000000001952e-05 	30.845259838765009874351 	6.107949684919233846e-06 	1.233502189279534187e-07 	3.804769554001272951e-06 	3.531223914387358812e-10 	-0.845259838765008320038 	0                        	-19.99999987658652145228 	16.905196670983709594793 	0.0015688022510673316386 
0.0001000000000000000183 	30.845259838765031190633 	6.107944727440361987e-06 	1.234596425092604212e-07 	3.808144752799178694e-06 	3.805288829432175e-10    	-0.845259838765032300856 	0                        	-19.99999987658944178293 	16.905196670986658347147 	0.0016905196670984250305 
0.0001000060000000000179 	30.845341538913885415241 	0.0748030428823764914625 	-0.000247890865168171276 	-0.007646278400489094421 	3.576014721760101351e-10 	-0.845341538913884305018 	0                        	-20.00024789085965437607 	16.907040330718469789417 	0.0016906211038094302434 
0.0001000180000000000172 	30.845127423685521961261 	0.2802650876031296256485 	-7.7723593129514336e-05  	-0.002397394133906558325 	2.973394369696401796e-10 	-0.845127423685522627395 	0                        	-20.00007772365054847796 	16.902614160098998752346 	0.0016908239617363751521 
0.0001000420000000000156 	30.845488333543993775265 	1.1425150743511491846505 	-0.000669454992774332134 	-0.020649666169453441411 	2.077471332933849359e-11 	-0.845488333543993331176 	0                        	-20.00066945498625159416 	16.910332687260574147103 	0.0016912297170985433458 
0.0001000600000000000144 	30.845043361105574319936 	2.1533537032826663981666 	-0.000675481570134150739 	-0.020835258320415554062 	-3.52589607079457839e-10 	-0.845043361105572765624 	0                        	-20.00067548158557428906 	16.901438033340895117362 	0.0016915340230350287085 
0.0001000620387939943215 	30.844923505482590542215 	2.2661696022761517177457 	-0.000319804701500892128 	-0.009864351554488710525 	-3.83884697199721454e-10 	-0.844923505482588987903 	0                        	-20.000319804816903968   	16.898740320258749392224 	0.0016915684788353455709 
